species	site	year	a11	a12	a13	a14	a21	a22	a23	a24	a31	a32	a33	a34	a41	a42	a43	a44
cardinalis	"Buck Meadows"	2000	0.2128	0	2038	9624	2.49e-5	0	0	0	3.74e-5	0	0.3529	0.5000	8.31e-7	0	0.0588	0.2778
cardinalis	"Buck Meadows"	2001	0.1840	376	720	1340	2.14e-5	0.0345	0.0104	0	2.14e-5	0.2759	0.3229	0.2632	0	0.1034	0.1979	0.3684
cardinalis	"Buck Meadows"	2002	0.1840	0	144	916	3.93e-6	0	0	0	2.23e-5	0.0303	0.3662	0.2069	0	0	0.0704	0.4483
cardinalis	"Buck Meadows"	pooled	0.19	441	1262	3636	2.25e-5	0.0139	0.0043	0	3.26e-5	0.1250	0.3447	0.3725	3.46e-7	0.0417	0.1191	0.3431
cardinalis	"Rainbow Pool"	2000	0.1858	0	77	668	5.76e-5	0.2606	0.0643	0.0076	1.57e-5	0.0904	0.4143	0.3106	1.16e-6	0	0.0500	0.4318
cardinalis	"Rainbow Pool"	2001	0.1859	8	280	1279	2.39e-5	0.1152	0.0051	0	1.66e-5	0.1264	0.3299	0.3205	7.10e-7	0.0028	0.1066	0.4872
cardinalis	"Rainbow Pool"	2002	0.1840	0	28	1210	1.82e-4	0.0143	0.0149	0	1.59e-4	0.0429	0.1940	0.2258	0	0	0.0100	0.4355
cardinalis	"Rainbow Pool"	pooled	0.19	3	125	1003	5.44e-5	0.1345	0.0242	0.0037	2.39e-5	0.0994	0.3011	0.2941	1.08e-6	0.0015	0.0558	0.4485
cardinalis	Wawona	2000	0.2315	5612	38931	133773	2.43e-5	0.0559	0.0125	0	2.94e-6	0.0721	0.3625	0.0805	2.90e-7	0.0342	0.2375	0.8161
cardinalis	Wawona	2001	0.2056	2778	26853	87287	2.01e-5	0.0702	0.0511	0	3.06e-6	0.1020	0.2482	0.1488	1.82e-7	0.0234	0.2263	0.7355
cardinalis	Wawona	2002	0.1840	241	1739	14790	1.10e-5	0.1437	0.0338	0	1.68e-6	0.1106	0.3768	0.2055	0	0.0101	0.0725	0.6164
cardinalis	Wawona	pooled	0.20	1980	14162	65242	2.05e-5	0.1018	0.0354	0	2.90e-6	0.0954	0.3325	0.1554	1.60e-7	0.0214	0.1533	0.7062
cardinalis	Carlon	2000	0.2239	936	14496	41089	3.77e-5	0.0339	0.0769	0	3.70e-6	0.0435	0.4231	0.1316	7.41e-7	0.0174	0.2692	0.7632
cardinalis	Carlon	2001	0.1840	1209	20127	67161	3.14e-5	0.0615	0.0244	0	3.46e-6	0.1154	0.3537	0.0909	0	0.0154	0.2561	0.8545
cardinalis	Carlon	2002	0.2015	99	3396	24261	3.92e-5	0.0062	0	0	3.94e-5	0.0372	0.2951	0.1343	5.49e-7	0.0031	0.1066	0.7612
cardinalis	Carlon	pooled	0.21	893	10987	48924	3.98e-5	0.0349	0.0174	0	1.68e-5	0.0574	0.3304	0.1188	4.72e-7	0.0145	0.1783	0.7938
lewisii	Wawona	2000	0.0280	0	0	23488	1.39e-5	0	0	0	1.64e-6	0	0.5000	0.0556	0	0	0	0.7778
lewisii	Wawona	2001	0.0280	0	9754	11379	3.97e-6	0	0	0	7.95e-7	0	0.2857	0.1429	0	0	0.4286	0.5000
lewisii	Wawona	2002	0.0280	0	1782	9505	6.34e-6	0.2000	0	0	1.59e-5	0	0.5500	0.2000	0	0	0.1500	0.8000
